"year","LS0A11CD","LS0A11NM","c1","c2","c3","c4","c5","c0","male","female","unknowsex","avgage","PNT_COUNT","PERCENTAGE","FREQUENCY","SUM_Field15","total_incidents"
"2020","E01003842","Richmond upon Thames 013C","1","40","7","4","8","2","22","38","1","48","2","0.001701606","4","19","62"
"2020","E01003843","Richmond upon Thames 013D","6","44","10","3","NULL","3","34","34","1","56","3","0.002552409","4","21","70"
"2020","E01003844","Richmond upon Thames 013E","6","29","13","1","5","1","26","29","0","61","13","0.011060441","3","17","55"
"2020","E01003845","Richmond upon Thames 013F","5","47","16","NULL","2","0","33","36","0","72","2","0.001701606","4","27","70"
"2020","E01003846","Richmond upon Thames 002A","15","6","NULL","NULL","1","0","16","8","0","57","1","0.000850803","4","15","25"
"2020","E01003847","Richmond upon Thames 002B","3","30","16","NULL","NULL","0","24","25","1","54","2","0.001701606","3","35","50"
"2020","E01003848","Richmond upon Thames 004A","1","26","14","NULL","2","0","11","34","1","53","2","0.001701606","4","18","49"
"2020","E01003849","Richmond upon Thames 002C","1","19","14","NULL","2","0","15","21","0","60","6","0.005104819","4","17","36"
"2020","E01003851","Richmond upon Thames 002D","2","17","20","2","4","2","21","23","3","67","8","0.006806425","3","33","47"
"2020","E01003852","Richmond upon Thames 003A","3","35","15","1","NULL","4","19","38","1","59","2","0.001701606","4","11","59"
"2020","E01003853","Richmond upon Thames 003B","3","22","8","1","4","0","18","19","1","69","9","0.007657228","4","19","38"
"2020","E01003854","Richmond upon Thames 003C","15","8","2","NULL","1","0","9","19","0","55","2","0.001701606","3","22","29"
"2020","E01003855","Richmond upon Thames 003D","3","33","16","2","NULL","0","26","30","0","48","4","0.003403213","4","30","56"
"2020","E01003856","Richmond upon Thames 003E","2","13","6","1","3","2","9","18","0","41","1","0.000850803","4","19","27"
"2020","E01003857","Richmond upon Thames 003F","3","21","14","NULL","1","0","20","18","2","52","5","0.004254016","4","12","40"
"2020","E01003858","Richmond upon Thames 003G","1","12","5","NULL","1","0","9","11","0","63","8","0.006806425","4","16","21"
"2020","E01003859","Richmond upon Thames 005E","3","21","10","2","3","1","17","22","1","62","4","0.003403213","3","13","40"
"2020","E01003860","Richmond upon Thames 002E","5","18","17","1","3","3","21","26","0","48","4","0.003403213","4","47","47"
"2020","E01003861","Richmond upon Thames 004C","NULL","26","21","5","28","7","69","16","2","61","6","0.005104819","3","27","87"
"2020","E01003862","Richmond upon Thames 004D","3","26","11","5","4","0","23","25","1","50","2","0.001701606","4","26","49"
"2020","E01003863","Richmond upon Thames 004E","2","37","19","NULL","1","0","16","43","0","73","25","0.021270079","4","11","59"
"2020","E01003864","Richmond upon Thames 002F","5","17","11","NULL","1","0","15","22","1","60","11","0.009358835","4","24","39"
"2020","E01003865","Richmond upon Thames 004F","1","20","19","NULL","42",,"23","18","1","47","5","0.004254016","3","16",
"2020","E01003866","Richmond upon Thames 007A","3","10","5","2","NULL","0","7","12","0","63","1","0.000850803","4","16","21"
"2020","E01003867","Richmond upon Thames 011A","4","29","14","4","2","0","17","31","5","49","2","0.001701606","3","22","53"
"2020","E01003868","Richmond upon Thames 007B","2","8","5","1","NULL","0","5","9","2","40","1","0.000850803","4","16","16"
"2020","E01003869","Richmond upon Thames 011B","5","16","5","1","1","0","15","11","2","53","9","0.007657228","3","15","28"
"2020","E01003870","Richmond upon Thames 011C","5","15","14","3","4","1","22","20","0","48","14","0.011911244","4","21","42"
"2020","E01003871","Richmond upon Thames 007C","2","19","6","1","NULL","0","18","10","0","64","1","0.000850803","4","16","29"
"2020","E01003872","Richmond upon Thames 007D","2","10","10","1","23",,"10","12","1","47","1","0.000850803","3","14",
"2020","E01003873","Richmond upon Thames 006A","3","34","6","NULL","5","1","27","20","1","59","4","0.003403213","4","37","50"
"2020","E01003874","Richmond upon Thames 006B","1","13","8","1","NULL","0","6","17","0","49","6","0.005104819","3","7","24"
"2020","E01003875","Richmond upon Thames 006C","3","27","17","8","6","0","29","32","0","57","1","0.000850803","3","10","61"
"2020","E01003876","Richmond upon Thames 008B","7","38","31","2","5","2","43","40","2","49","1","0.000850803","4","102","85"
"2020","E01003877","Richmond upon Thames 008C","1","17","9","1","5","2","11","22","0","77","17","0.014463654","3","12","35"
"2020","E01003878","Richmond upon Thames 006D","1","36","8","1","4","3","24","28","1","61","2","0.001701606","4","16","53"
"2020","E01003879","Richmond upon Thames 008D","4","21","10","NULL","1","0","21","20","0","56","9","0.007657228","3","16","41"
"2020","E01003880","Richmond upon Thames 016A","2","11","4","3","NULL","2","13","10","1","59","4","0.003403213","4","15","24"
"2020","E01003881","Richmond upon Thames 016B","3","28","13","NULL","9","3","15","38","3","30","2","0.001701606","3","5","57"
"2020","E01003882","Richmond upon Thames 014A","5","39","28","12","3","0","55","30","2","52","3","0.002552409","3","18","87"
"2020","E01003883","Richmond upon Thames 014B","3","12","12","NULL","1","0","17","14","0","48","3","0.002552409","4","12","31"
"2020","E01003884","Richmond upon Thames 016C","26","14","NULL","3","45",,"19","24","2","60","7","0.005955622","4","5",
"2020","E01003885","Richmond upon Thames 016D","3","13","11","1","NULL","0","12","16","0","50","4","0.003403213","4","6","28"
"2020","E01003886","Richmond upon Thames 021A","1","21","6","1","NULL","3","21","10","1","59","3","0.002552409","4","14","32"
"2020","E01003887","Richmond upon Thames 021B","1","32","24","10","1","0","25","43","0","55","7","0.005955622","4","18","68"
"2020","E01003888","Richmond upon Thames 021C","3","63","29","2","6","27","50","73","7","63","5","0.004254016","4","11","130"
"2020","E01003889","Richmond upon Thames 021D","1","21","8","1","NULL","2","19","13","1","59","2","0.001701606","3","15","33"
"2020","E01003890","Richmond upon Thames 018C","2","12","7","1","2","2","10","16","0","51","14","0.011911244","4","8","26"
"2020","E01003891","Richmond upon Thames 018D","2","17","10","1","NULL","0","12","18","0","53","2","0.001701606","3","8","32"
"2020","E01003892","Richmond upon Thames 009A","4","35","4","4","2","0","22","24","3","61","28","0.023822488","3","7","49"
"2020","E01003893","Richmond upon Thames 009B","2","16","11","3","NULL","3","16","18","1","67","1","0.000850803","3","12","37"
"2020","E01003894","Richmond upon Thames 009C","2","22","9","5","5","0","16","27","0","51","5","0.004254016","4","7","43"
"2020","E01003895","Richmond upon Thames 009D","24","5","NULL","2","34",,"8","26","0","58","18","0.015314457","4","13",
